# node D L T
A 0 0.436331 0.509933
B 0 0.436331 0.509933
C 0 0.436331 0.509933
D 0 0.436331 0.509933
E 0 0.436331 0.509933
F 0 0.436331 0.509933
Node_A_D_0 0 0.436331 0.509933
Node_A_C_0 0 0.436331 0.509933
Node_A_B_0 0 0.436331 0.509933
Node_D_E_0 0 0.436331 0.509933
Node_A_F_0 0 0.436331 0.509933
